key_pair,comfort_score,distance_score,dvorak7_score,engram_avg4_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram_avg4_score_normalized,time_score_normalized
AR,-0.63598,39.293765,0.714286,0.720545,875.106884,0.576013,0.291065,0.102041,0.720545,0.448687
AS,-0.405374,0.0,0.785714,0.914182,871.0,0.729751,0.0,0.112245,0.914182,0.442647
AT,-1.108432,47.201695,0.642857,0.637409,933.332895,0.261045,0.349642,0.091837,0.637409,0.534313
AU,-0.339469,39.293765,0.857143,0.907091,859.5,0.773688,0.291065,0.122449,0.907091,0.425735
AV,-0.725767,42.941821,0.714286,0.720545,859.5,0.516155,0.318088,0.102041,0.720545,0.425735
AW,-0.839825,39.293765,0.5,0.711818,892.6,0.440117,0.291065,0.071429,0.711818,0.474412
AX,-0.955016,42.941821,0.5,0.681364,859.5,0.363323,0.318088,0.071429,0.681364,0.425735
AY,-0.586998,61.220911,0.785714,0.823955,694.242423,0.608668,0.453488,0.112245,0.823955,0.182709
AZ,-1.083828,42.941821,0.285714,0.374545,952.239483,0.277448,0.318088,0.040816,0.374545,0.562117
A[,-0.586998,47.201695,0.714286,0.823955,859.5,0.608668,0.349642,0.102041,0.823955,0.425735
B',-0.836557,107.339743,0.714286,0.760091,873.6,0.442295,0.795109,0.102041,0.760091,0.446471
"B,",-0.793852,112.281564,0.785714,0.823955,873.6,0.470765,0.831715,0.112245,0.823955,0.446471
B.,-0.828168,112.281564,0.714286,0.799136,873.6,0.447888,0.831715,0.102041,0.799136,0.446471
B/,-0.803329,112.281564,0.714286,0.799136,873.6,0.464448,0.831715,0.102041,0.799136,0.446471
B;,-0.586998,69.339743,0.785714,0.823955,873.6,0.608668,0.513628,0.112245,0.823955,0.446471
BA,-1.108615,69.339743,0.5,0.637409,673.855161,0.260923,0.513628,0.071429,0.637409,0.152728
BB,-1.442261,69.339743,0.428571,0.351,696.965115,0.038493,0.513628,0.061224,0.351,0.186713
BC,-1.309704,112.281564,0.571429,0.738915,886.612929,0.126864,0.831715,0.081633,0.738915,0.465607
BD,-0.953484,69.339743,0.571429,0.679227,741.979055,0.364344,0.513628,0.081633,0.679227,0.25291
BE,-1.25098,108.633509,0.428571,0.538591,815.468834,0.166014,0.804693,0.061224,0.538591,0.360984
BF,-0.836557,69.339743,0.357143,0.384227,921.270089,0.442295,0.513628,0.05102,0.384227,0.516574
BG,-1.442261,75.140782,0.285714,0.266727,877.996471,0.038493,0.556598,0.040816,0.266727,0.452936
BH,-0.836557,107.339743,0.785714,0.760091,883.176955,0.442295,0.795109,0.112245,0.760091,0.460554
