key_pair,distance_setup,distance_interval,distance_return,distance_total
MG,21.470910553583888,19.0,40.47091055358389,80.94182110716778
MH,21.470910553583888,34.66987164671943,19.0,75.14078220030332
MI,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MJ,21.470910553583888,21.470910553583888,0.0,42.941821107167776
MK,21.470910553583888,0.0,21.470910553583888,42.941821107167776
ML,21.470910553583888,0.0,21.470910553583888,42.941821107167776
MM,21.470910553583888,0.0,21.470910553583888,42.941821107167776
MN,21.470910553583888,19.0,21.02379604162864,61.494706595212534
MO,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MP,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MQ,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MR,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MS,21.470910553583888,0.0,21.470910553583888,42.941821107167776
MT,21.470910553583888,23.600847442411894,45.07175799599578,90.14351599199156
MU,21.470910553583888,40.85339643163099,19.6468827043885,81.97118968960338
MV,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
MW,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MX,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
MY,21.470910553583888,50.99019513592785,30.610455730027933,103.07156141953968
MZ,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
M[,21.470910553583888,23.600847442411894,45.07175799599578,90.14351599199156
N',21.02379604162864,19.0,40.02379604162864,80.04759208325729
"N,",21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
N.,21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
N/,21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
N;,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NA,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NB,21.02379604162864,34.66987164671943,55.69366768834807,111.38733537669614
NC,21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
ND,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NE,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NF,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NG,21.02379604162864,19.0,40.02379604162864,80.04759208325729
NH,21.02379604162864,21.470910553583888,19.0,61.49470659521253
NI,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NJ,21.02379604162864,21.02379604162864,0.0,42.04759208325728
NK,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NL,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NM,21.02379604162864,19.0,21.470910553583888,61.494706595212534
NN,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NO,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NP,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NQ,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NR,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NS,21.02379604162864,0.0,21.02379604162864,42.04759208325728
NT,21.02379604162864,23.600847442411894,44.62464348404053,89.24928696808107
NU,21.02379604162864,38.2099463490856,19.6468827043885,78.88062509510274
NV,21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
NW,21.02379604162864,19.6468827043885,40.67067874601714,81.34135749203428
NX,21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
NY,21.02379604162864,40.85339643163099,30.610455730027933,92.48764820328756
NZ,21.02379604162864,21.470910553583888,42.49470659521253,84.98941319042505
N[,21.02379604162864,23.600847442411894,44.62464348404053,89.24928696808107
O',19.6468827043885,19.0,38.6468827043885,77.293765408777
"O,",19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
O.,19.6468827043885,40.85339643163099,21.470910553583888,81.97118968960338
O/,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
O;,19.6468827043885,0.0,19.6468827043885,39.293765408777
OA,19.6468827043885,0.0,19.6468827043885,39.293765408777
OB,19.6468827043885,34.66987164671943,54.31675435110793,108.63350870221586
OC,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
OD,19.6468827043885,0.0,19.6468827043885,39.293765408777
OE,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OF,19.6468827043885,0.0,19.6468827043885,39.293765408777
OG,19.6468827043885,19.0,38.6468827043885,77.293765408777
OH,19.6468827043885,19.0,38.6468827043885,77.293765408777
OI,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OJ,19.6468827043885,0.0,19.6468827043885,39.293765408777
OK,19.6468827043885,0.0,19.6468827043885,39.293765408777
OL,19.6468827043885,19.6468827043885,0.0,39.293765408777
OM,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
ON,19.6468827043885,21.02379604162864,40.67067874601714,81.34135749203428
OO,19.6468827043885,0.0,19.6468827043885,39.293765408777
OP,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OQ,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OR,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OS,19.6468827043885,0.0,19.6468827043885,39.293765408777
OT,19.6468827043885,23.600847442411894,43.24773014680039,86.49546029360079
OU,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OV,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
OW,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
OX,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
OY,19.6468827043885,30.610455730027933,50.25733843441643,100.51467686883286
OZ,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
O[,19.6468827043885,23.600847442411894,43.24773014680039,86.49546029360079
P',19.6468827043885,30.610455730027933,19.0,69.25733843441643
"P,",19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
P.,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
P/,19.6468827043885,40.85339643163099,21.470910553583888,81.97118968960338
