combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
hands + skip_fingers + same_row + home_row + columns,5,0.23088144374842115,7.763235340502502e-09,0.23088144374842115,True,2.1443314913496102e-08,True
fingers + dont_cross_home + home_row + strum + strong_fingers,5,0.23079399201788983,7.867524742739002e-09,0.23079399201788983,True,2.161454378247113e-08,True
fingers + same_row + columns + strum,4,0.2306979282075597,7.983650581888955e-09,0.2306979282075597,True,2.1816285814680514e-08,True
fingers + same_row + home_row + strum,4,0.23014627778979987,8.683391162577674e-09,0.23014627778979987,True,2.3602196191899954e-08,True
hands + dont_cross_home + same_row + home_row + strum + strong_fingers,6,0.2297507967488894,9.221272045884729e-09,0.2297507967488894,True,2.4931587383317973e-08,True
hands + fingers + dont_cross_home + same_row + home_row + strong_fingers,6,0.22907653856835933,1.0213674514106402e-08,0.22907653856835933,True,2.7469408824780906e-08,True
fingers + skip_fingers + dont_cross_home + columns,4,0.22869812888954758,1.0815211908466206e-08,0.22869812888954758,True,2.8934938666105926e-08,True
fingers + home_row,2,0.22830762434827345,1.1471942138310584e-08,0.22830762434827345,True,3.036208363566555e-08,True
hands + fingers + dont_cross_home + same_row + home_row,5,0.22827726935176382,1.1524580393234911e-08,0.22827726935176382,True,3.036208363566555e-08,True
hands + skip_fingers + dont_cross_home + same_row + columns,5,0.228275936679099,1.1526896722737997e-08,0.228275936679099,True,3.036208363566555e-08,True
fingers + skip_fingers + dont_cross_home + home_row + columns + strum,6,0.22787204435200173,1.2250099336230162e-08,0.22787204435200173,True,3.2030423313957714e-08,True
skip_fingers + dont_cross_home + same_row + strong_fingers,4,0.22785279560302468,1.2285641819052274e-08,0.22785279560302468,True,3.2030423313957714e-08,True
fingers + dont_cross_home + strong_fingers,3,0.22770582104087017,1.2560342696337737e-08,0.22770582104087017,True,3.2580381308774535e-08,True
fingers + home_row + strong_fingers,3,0.22757185366204472,1.2815912108904324e-08,0.22757185366204472,True,3.291359608142442e-08,True
hands + dont_cross_home + same_row + home_row + strum,5,0.22757096530982965,1.2817623522903051e-08,0.22757096530982965,True,3.291359608142442e-08,True
fingers + same_row + home_row + strum + strong_fingers,5,0.2272331595708517,1.348472063753835e-08,0.2272331595708517,True,3.4453461228910484e-08,True
